;Activity;Hour
597;breakfast_Workaholic;7.383333333333334
598;lunch_Workaholic;12.8
599;work_Workaholic;8.7
600;sleep_Workaholic;23.0
601;breakfast_Workaholic;7.4
602;lunch_Workaholic;12.4
603;work_Workaholic;8.583333333333334
604;sleep_Workaholic;23.0
605;workout_Workaholic;6.0
606;breakfast_Workaholic;7.366666666666666
607;lunch_Workaholic;12.633333333333333
608;work_Workaholic;8.933333333333334
609;sleep_Workaholic;23.0
610;workout_Workaholic;6.0
611;breakfast_Workaholic;7.4
612;lunch_Workaholic;12.3
613;work_Workaholic;8.366666666666667
614;dinner_Workaholic;19.616666666666667
615;sleep_Workaholic;23.0
616;breakfast_Workaholic;7.25
617;lunch_Workaholic;12.9
618;dinner_Workaholic;19.816666666666666
619;sleep_Workaholic;23.0
620;workout_Workaholic;6.0
621;breakfast_Workaholic;7.35
622;lunch_Workaholic;12.666666666666666
623;work_Workaholic;8.283333333333333
624;dinner_Workaholic;18.983333333333334
625;sleep_Workaholic;23.0
626;breakfast_Workaholic;7.416666666666667
627;lunch_Workaholic;12.783333333333333
628;work_Workaholic;8.533333333333333
629;sleep_Workaholic;23.0
630;breakfast_Workaholic;7.316666666666666
631;lunch_Workaholic;12.0
632;work_Workaholic;8.55
633;dinner_Workaholic;19.233333333333334
634;sleep_Workaholic;23.0
635;breakfast_Workaholic;7.483333333333333
636;lunch_Workaholic;12.466666666666667
637;work_Workaholic;8.983333333333333
638;sleep_Workaholic;23.0
639;breakfast_Workaholic;7.033333333333333
640;lunch_Workaholic;12.05
641;work_Workaholic;8.483333333333333
642;dinner_Workaholic;19.666666666666668
643;sleep_Workaholic;23.0
644;breakfast_Workaholic;7.416666666666667
645;lunch_Workaholic;12.433333333333334
646;work_Workaholic;8.1
647;dinner_Workaholic;19.25
648;sleep_Workaholic;23.0
649;breakfast_Workaholic;7.283333333333333
650;workout_Workaholic;9.0
651;lunch_Workaholic;12.3
652;dinner_Workaholic;18.4
653;sleep_Workaholic;23.0
654;breakfast_Workaholic;7.483333333333333
655;lunch_Workaholic;12.466666666666667
656;work_Workaholic;8.116666666666667
657;dinner_Workaholic;19.883333333333333
658;sleep_Workaholic;23.0
659;breakfast_Workaholic;7.4
660;lunch_Workaholic;12.6
661;work_Workaholic;8.316666666666666
662;dinner_Workaholic;19.866666666666667
663;sleep_Workaholic;23.0
664;breakfast_Workaholic;7.133333333333334
665;lunch_Workaholic;12.733333333333333
666;work_Workaholic;8.383333333333333
667;sleep_Workaholic;23.0
668;breakfast_Workaholic;7.133333333333334
669;lunch_Workaholic;12.466666666666667
670;work_Workaholic;8.316666666666666
671;sleep_Workaholic;23.0
672;breakfast_Workaholic;7.033333333333333
673;lunch_Workaholic;12.466666666666667
674;work_Workaholic;8.916666666666666
675;dinner_Workaholic;19.383333333333333
676;sleep_Workaholic;23.0
677;breakfast_Workaholic;7.166666666666667
678;lunch_Workaholic;12.166666666666666
679;work_Workaholic;8.816666666666666
680;sleep_Workaholic;23.0
681;breakfast_Workaholic;7.4
682;lunch_Workaholic;12.333333333333334
683;dinner_Workaholic;18.016666666666666
684;sleep_Workaholic;23.0
685;breakfast_Workaholic;7.45
686;lunch_Workaholic;12.833333333333334
687;work_Workaholic;8.85
688;dinner_Workaholic;19.666666666666668
689;sleep_Workaholic;23.0
690;breakfast_Workaholic;7.283333333333333
691;lunch_Workaholic;12.683333333333334
692;work_Workaholic;8.466666666666667
693;sleep_Workaholic;23.0
694;breakfast_Workaholic;7.133333333333334
695;lunch_Workaholic;12.5
696;work_Workaholic;8.85
697;sleep_Workaholic;23.0
698;breakfast_Workaholic;7.183333333333334
699;lunch_Workaholic;12.85
700;work_Workaholic;8.033333333333333
701;dinner_Workaholic;18.35
702;sleep_Workaholic;23.0
703;breakfast_Workaholic;7.366666666666666
704;lunch_Workaholic;12.583333333333334
705;work_Workaholic;8.516666666666667
706;sleep_Workaholic;23.0
707;breakfast_Workaholic;7.366666666666666
708;lunch_Workaholic;12.033333333333333
709;work_Workaholic;8.483333333333333
710;sleep_Workaholic;23.0
711;breakfast_Workaholic;7.316666666666666
712;lunch_Workaholic;12.3
713;dinner_Workaholic;18.95
714;sleep_Workaholic;23.0
715;breakfast_Workaholic;7.083333333333333
716;lunch_Workaholic;12.733333333333333
717;work_Workaholic;8.616666666666667
718;sleep_Workaholic;23.0
719;breakfast_Workaholic;7.116666666666666
720;lunch_Workaholic;12.716666666666667
721;work_Workaholic;8.816666666666666
722;workout_Workaholic;22.0
723;sleep_Workaholic;23.0
724;breakfast_Workaholic;7.066666666666666
725;lunch_Workaholic;12.766666666666667
726;work_Workaholic;8.716666666666667
727;sleep_Workaholic;23.0
728;breakfast_Workaholic;7.1
729;lunch_Workaholic;12.366666666666667
730;work_Workaholic;8.016666666666667
731;dinner_Workaholic;19.5
732;sleep_Workaholic;23.0
733;breakfast_Workaholic;7.083333333333333
734;lunch_Workaholic;12.983333333333333
735;work_Workaholic;8.066666666666666
736;dinner_Workaholic;19.133333333333333
737;sleep_Workaholic;23.0
